cve_id,cwe_id,published_date,base_score,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,is_exploited,cve_age_days
CVE-2019-10881,"CWE-259,CWE-798",2021-04-13 21:15:16.740,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1889
CVE-2021-0245,CWE-798,2021-04-22 20:15:09.157,7.8,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1880
CVE-2021-0248,CWE-798,2021-04-22 20:15:09.257,10.0,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,0,1880
CVE-2021-0266,"CWE-321,CWE-798",2021-04-22 20:15:09.877,8.1,NETWORK,HIGH,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1880
CVE-2021-27392,"CWE-321,CWE-798",2021-04-22 21:15:10.363,8.8,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1880
CVE-2021-25898,"CWE-312,CWE-798",2021-04-23 21:15:08.180,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,0,1879
CVE-2020-21995,CWE-798,2021-04-29 15:15:10.473,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1873
CVE-2020-4932,CWE-798,2021-05-05 16:15:07.713,7.8,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1867
CVE-2021-20401,CWE-798,2021-05-05 16:15:07.887,7.8,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1867
CVE-2021-20025,CWE-798,2021-05-13 15:15:07.653,7.8,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1859
CVE-2021-32454,CWE-798,2021-05-17 18:15:07.950,9.6,ADJACENT_NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,0,1855
CVE-2021-28111,CWE-798,2021-05-20 14:15:07.807,8.8,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1852
CVE-2021-29691,CWE-798,2021-05-20 15:15:07.930,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,0,1852
CVE-2021-20426,CWE-798,2021-05-24 14:15:07.880,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1848
CVE-2021-32459,CWE-798,2021-05-27 11:15:07.347,6.5,NETWORK,LOW,HIGH,NONE,UNCHANGED,HIGH,HIGH,NONE,0,1845
CVE-2021-3565,"CWE-665,CWE-798",2021-06-04 12:15:07.557,5.9,NETWORK,HIGH,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,0,1837
CVE-2020-29321,"CWE-522,CWE-798",2021-06-04 20:15:07.607,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,0,1837
CVE-2020-29322,"CWE-522,CWE-798",2021-06-04 20:15:07.657,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,0,1837
CVE-2020-29323,"CWE-522,CWE-798",2021-06-04 20:15:07.687,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,0,1837
CVE-2020-15382,CWE-798,2021-06-09 15:15:08.073,7.2,NETWORK,LOW,HIGH,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1832
CVE-2021-27481,"CWE-321,CWE-798",2021-06-16 12:15:12.217,5.5,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,NONE,NONE,0,1825
